"Level","ProvinceID","Province","MunicipalityID","Municipality","AgeGroup","Male","Female","Total","ScrapedOn"
"Municipality","1","Eastern Cape","1107","EC106 - Sundays River Valley","30-39","2870","3130","6000","2026-09-22"
"Municipality","1","Eastern Cape","1107","EC106 - Sundays River Valley","40-49","2937","3128","6065","2026-09-22"
"Municipality","1","Eastern Cape","1107","EC106 - Sundays River Valley","50-59","2587","2824","5411","2026-09-22"
"Municipality","1","Eastern Cape","1107","EC106 - Sundays River Valley","60-69","1446","1824","3270","2026-09-22"
"Municipality","1","Eastern Cape","1107","EC106 - Sundays River Valley","70-79","552","751","1303","2026-09-22"
"Municipality","1","Eastern Cape","1107","EC106 - Sundays River Valley","80+","160","347","507","2026-09-22"
"Municipality","1","Eastern Cape","1109","EC108 - Kouga","18-19","655","816","1471","2026-09-22"
"Municipality","1","Eastern Cape","1109","EC108 - Kouga","20-29","4177","5167","9344","2026-09-22"
"Municipality","1","Eastern Cape","1109","EC108 - Kouga","30-39","6281","7449","13730","2026-09-22"
"Municipality","1","Eastern Cape","1109","EC108 - Kouga","40-49","6685","7281","13966","2026-09-22"
"Municipality","1","Eastern Cape","1109","EC108 - Kouga","50-59","5674","6290","11964","2026-09-22"
"Municipality","1","Eastern Cape","1109","EC108 - Kouga","60-69","4271","5320","9591","2026-09-22"
"Municipality","1","Eastern Cape","1109","EC108 - Kouga","70-79","2519","3236","5755","2026-09-22"
"Municipality","1","Eastern Cape","1109","EC108 - Kouga","80+","973","1598","2571","2026-09-22"
"Municipality","1","Eastern Cape","1110","EC109 - Kou-Kamma","18-19","273","331","604","2026-09-22"
"Municipality","1","Eastern Cape","1110","EC109 - Kou-Kamma","20-29","2172","2320","4492","2026-09-22"
"Municipality","1","Eastern Cape","1110","EC109 - Kou-Kamma","30-39","2739","2831","5570","2026-09-22"
"Municipality","1","Eastern Cape","1110","EC109 - Kou-Kamma","40-49","2501","2609","5110","2026-09-22"
"Municipality","1","Eastern Cape","1110","EC109 - Kou-Kamma","50-59","2040","2126","4166","2026-09-22"
"Municipality","1","Eastern Cape","1110","EC109 - Kou-Kamma","60-69","1199","1360","2559","2026-09-22"
"Municipality","1","Eastern Cape","1110","EC109 - Kou-Kamma","70-79","473","615","1088","2026-09-22"
"Municipality","1","Eastern Cape","1110","EC109 - Kou-Kamma","80+","138","231","369","2026-09-22"
"Municipality","1","Eastern Cape","1113","EC121 - Mbhashe","18-19","1484","1734","3218","2026-09-22"
"Municipality","1","Eastern Cape","1113","EC121 - Mbhashe","20-29","10210","11572","21782","2026-09-22"
"Municipality","1","Eastern Cape","1113","EC121 - Mbhashe","30-39","13637","15643","29280","2026-09-22"
"Municipality","1","Eastern Cape","1113","EC121 - Mbhashe","40-49","10079","12890","22969","2026-09-22"
"Municipality","1","Eastern Cape","1113","EC121 - Mbhashe","50-59","6661","11763","18424","2026-09-22"
"Municipality","1","Eastern Cape","1113","EC121 - Mbhashe","60-69","7017","11180","18197","2026-09-22"
"Municipality","1","Eastern Cape","1113","EC121 - Mbhashe","70-79","3946","7086","11032","2026-09-22"
"Municipality","1","Eastern Cape","1113","EC121 - Mbhashe","80+","2917","5815","8732","2026-09-22"
"Municipality","1","Eastern Cape","1114","EC122 - Mnquma","18-19","1648","1876","3524","2026-09-22"
"Municipality","1","Eastern Cape","1114","EC122 - Mnquma","20-29","9263","10260","19523","2026-09-22"
"Municipality","1","Eastern Cape","1114","EC122 - Mnquma","30-39","12570","12995","25565","2026-09-22"
"Municipality","1","Eastern Cape","1114","EC122 - Mnquma","40-49","10495","11117","21612","2026-09-22"
"Municipality","1","Eastern Cape","1114","EC122 - Mnquma","50-59","7467","11105","18572","2026-09-22"
"Municipality","1","Eastern Cape","1114","EC122 - Mnquma","60-69","6783","11098","17881","2026-09-22"
"Municipality","1","Eastern Cape","1114","EC122 - Mnquma","70-79","3896","6953","10849","2026-09-22"
"Municipality","1","Eastern Cape","1114","EC122 - Mnquma","80+","1963","4764","6727","2026-09-22"
"Municipality","1","Eastern Cape","1115","EC123 - Great Kei","18-19","370","453","823","2026-09-22"
"Municipality","1","Eastern Cape","1115","EC123 - Great Kei","20-29","1636","1591","3227","2026-09-22"
"Municipality","1","Eastern Cape","1115","EC123 - Great Kei","30-39","1934","2064","3998","2026-09-22"
"Municipality","1","Eastern Cape","1115","EC123 - Great Kei","40-49","2144","2064","4208","2026-09-22"
"Municipality","1","Eastern Cape","1115","EC123 - Great Kei","50-59","1508","1903","3411","2026-09-22"
"Municipality","1","Eastern Cape","1115","EC123 - Great Kei","60-69","1227","1718","2945","2026-09-22"
"Municipality","1","Eastern Cape","1115","EC123 - Great Kei","70-79","624","785","1409","2026-09-22"
"Municipality","1","Eastern Cape","1115","EC123 - Great Kei","80+","249","537","786","2026-09-22"
"Municipality","1","Eastern Cape","1116","EC124 - Amahlathi","18-19","564","595","1159","2026-09-22"
"Municipality","1","Eastern Cape","1116","EC124 - Amahlathi","20-29","3443","3672","7115","2026-09-22"
"Municipality","1","Eastern Cape","1116","EC124 - Amahlathi","30-39","5117","5075","10192","2026-09-22"
"Municipality","1","Eastern Cape","1116","EC124 - Amahlathi","40-49","4932","5068","10000","2026-09-22"
"Municipality","1","Eastern Cape","1116","EC124 - Amahlathi","50-59","3921","4674","8595","2026-09-22"
"Municipality","1","Eastern Cape","1116","EC124 - Amahlathi","60-69","3183","4607","7790","2026-09-22"
"Municipality","1","Eastern Cape","1116","EC124 - Amahlathi","70-79","1438","2298","3736","2026-09-22"
"Municipality","1","Eastern Cape","1116","EC124 - Amahlathi","80+","494","1198","1692","2026-09-22"
"Municipality","1","Eastern Cape","1118","EC126 - Ngqushwa","18-19","570","548","1118","2026-09-22"
"Municipality","1","Eastern Cape","1118","EC126 - Ngqushwa","20-29","2802","2541","5343","2026-09-22"
"Municipality","1","Eastern Cape","1118","EC126 - Ngqushwa","30-39","3629","3537","7166","2026-09-22"
"Municipality","1","Eastern Cape","1118","EC126 - Ngqushwa","40-49","3530","3363","6893","2026-09-22"
"Municipality","1","Eastern Cape","1118","EC126 - Ngqushwa","50-59","2740","3553","6293","2026-09-22"
"Municipality","1","Eastern Cape","1118","EC126 - Ngqushwa","60-69","2455","3441","5896","2026-09-22"
"Municipality","1","Eastern Cape","1118","EC126 - Ngqushwa","70-79","1322","2083","3405","2026-09-22"
"Municipality","1","Eastern Cape","1118","EC126 - Ngqushwa","80+","490","1383","1873","2026-09-22"
"Municipality","1","Eastern Cape","1147","EC129 - Raymond Mhlaba","18-19","1390","1934","3324","2026-09-22"
"Municipality","1","Eastern Cape","1147","EC129 - Raymond Mhlaba","20-29","8400","9547","17947","2026-09-22"
"Municipality","1","Eastern Cape","1147","EC129 - Raymond Mhlaba","30-39","8120","8861","16981","2026-09-22"
"Municipality","1","Eastern Cape","1147","EC129 - Raymond Mhlaba","40-49","7587","7887","15474","2026-09-22"
"Municipality","1","Eastern Cape","1147","EC129 - Raymond Mhlaba","50-59","6494","7897","14391","2026-09-22"
"Municipality","1","Eastern Cape","1147","EC129 - Raymond Mhlaba","60-69","5167","7284","12451","2026-09-22"
"Municipality","1","Eastern Cape","1147","EC129 - Raymond Mhlaba","70-79","2372","3953","6325","2026-09-22"
"Municipality","1","Eastern Cape","1147","EC129 - Raymond Mhlaba","80+","913","2197","3110","2026-09-22"
"Municipality","1","Eastern Cape","1122","EC131 - Inxuba Yethemba","18-19","510","563","1073","2026-09-22"
"Municipality","1","Eastern Cape","1122","EC131 - Inxuba Yethemba","20-29","2817","3090","5907","2026-09-22"
"Municipality","1","Eastern Cape","1122","EC131 - Inxuba Yethemba","30-39","3217","3739","6956","2026-09-22"
"Municipality","1","Eastern Cape","1122","EC131 - Inxuba Yethemba","40-49","3200","3541","6741","2026-09-22"
"Municipality","1","Eastern Cape","1122","EC131 - Inxuba Yethemba","50-59","2603","3199","5802","2026-09-22"
"Municipality","1","Eastern Cape","1122","EC131 - Inxuba Yethemba","60-69","1679","2365","4044","2026-09-22"
"Municipality","1","Eastern Cape","1122","EC131 - Inxuba Yethemba","70-79","711","1201","1912","2026-09-22"
"Municipality","1","Eastern Cape","1122","EC131 - Inxuba Yethemba","80+","192","495","687","2026-09-22"
"Municipality","1","Eastern Cape","1126","EC135 - Intsika Yethu","18-19","1169","1015","2184","2026-09-22"
"Municipality","1","Eastern Cape","1126","EC135 - Intsika Yethu","20-29","6046","5369","11415","2026-09-22"
"Municipality","1","Eastern Cape","1126","EC135 - Intsika Yethu","30-39","8025","7572","15597","2026-09-22"
"Municipality","1","Eastern Cape","1126","EC135 - Intsika Yethu","40-49","6867","6707","13574","2026-09-22"
"Municipality","1","Eastern Cape","1126","EC135 - Intsika Yethu","50-59","4739","6829","11568","2026-09-22"
"Municipality","1","Eastern Cape","1126","EC135 - Intsika Yethu","60-69","4605","7345","11950","2026-09-22"
"Municipality","1","Eastern Cape","1126","EC135 - Intsika Yethu","70-79","2783","4956","7739","2026-09-22"
"Municipality","1","Eastern Cape","1126","EC135 - Intsika Yethu","80+","1636","3659","5295","2026-09-22"
"Municipality","1","Eastern Cape","1127","EC136 - Emalahleni","18-19","747","745","1492","2026-09-22"
"Municipality","1","Eastern Cape","1127","EC136 - Emalahleni","20-29","4839","4550","9389","2026-09-22"
"Municipality","1","Eastern Cape","1127","EC136 - Emalahleni","30-39","6537","6145","12682","2026-09-22"
"Municipality","1","Eastern Cape","1127","EC136 - Emalahleni","40-49","5487","5435","10922","2026-09-22"
"Municipality","1","Eastern Cape","1127","EC136 - Emalahleni","50-59","4053","5487","9540","2026-09-22"
"Municipality","1","Eastern Cape","1127","EC136 - Emalahleni","60-69","4155","6365","10520","2026-09-22"
"Municipality","1","Eastern Cape","1127","EC136 - Emalahleni","70-79","2411","3859","6270","2026-09-22"
"Municipality","1","Eastern Cape","1127","EC136 - Emalahleni","80+","997","2332","3329","2026-09-22"
"Municipality","1","Eastern Cape","1128","EC137 - Dr. A.B. Xuma","18-19","885","1112","1997","2026-09-22"
"Municipality","1","Eastern Cape","1128","EC137 - Dr. A.B. Xuma","20-29","5158","6101","11259","2026-09-22"
"Municipality","1","Eastern Cape","1128","EC137 - Dr. A.B. Xuma","30-39","7545","8846","16391","2026-09-22"
"Municipality","1","Eastern Cape","1128","EC137 - Dr. A.B. Xuma","40-49","6300","7852","14152","2026-09-22"
"Municipality","1","Eastern Cape","1128","EC137 - Dr. A.B. Xuma","50-59","4639","7378","12017","2026-09-22"
"Municipality","1","Eastern Cape","1128","EC137 - Dr. A.B. Xuma","60-69","4318","6717","11035","2026-09-22"
"Municipality","1","Eastern Cape","1128","EC137 - Dr. A.B. Xuma","70-79","2460","4079","6539","2026-09-22"
"Municipality","1","Eastern Cape","1128","EC137 - Dr. A.B. Xuma","80+","1443","3026","4469","2026-09-22"
"Municipality","1","Eastern Cape","1129","EC138 - Sakhisizwe","18-19","496","584","1080","2026-09-22"
"Municipality","1","Eastern Cape","1129","EC138 - Sakhisizwe","20-29","2644","2618","5262","2026-09-22"
"Municipality","1","Eastern Cape","1129","EC138 - Sakhisizwe","30-39","3636","3672","7308","2026-09-22"
"Municipality","1","Eastern Cape","1129","EC138 - Sakhisizwe","40-49","3102","3117","6219","2026-09-22"
