"Town","Suburb","Street","Latitude","Longitude","ProvinceID","Province","MunicipalityID","Municipality","WardID","VDNumber","VotingDistrict","VDAddress"
"PORT ELIZABETH","PROVIDENTIA","40 MILNER STREET","-34.00052","25.53665","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300001","10250064","MOUNT PLEASANT PRIMARY SCHOOL","PROVIDENTIA, 40 MILNER STREET, PORT ELIZABETH"
"GQEBERHA","THEESCOMBE","412 HEATHERBANK ROAD","-33.983264","25.522612","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300001","10251920","HEATHERBANK PRIMARY SCHOOL","THEESCOMBE, 412 HEATHERBANK ROAD, GQEBERHA"
"GQEBERHA","MIRAMAR","34 GODLONTON AVENUE","-33.996628","25.548169","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300001","10251931","ST DOMINICS PRIORY SCHOOL","MIRAMAR, 34 GODLONTON AVENUE, GQEBERHA"
"PORT ELIZABETH","LOVEMORE PARK AREA","SEAVIEW ROAD","-34.010067","25.506425","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300001","10460090","ELUKHOLWENI FARM SCHOOL","LOVEMORE PARK AREA, SEAVIEW ROAD, PORT ELIZABETH"
"GQEBERHA","SUMMERSTRAND","ADMIRALTY WAY","-33.99761","25.66847","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300002","10250019","CAPE RECIFE HIGH SCHOOL","SUMMERSTRAND, ADMIRALTY WAY, GQEBERHA"
"PORT ELIZABETH","SUMMERSTRAND","7TH AVENUE","-33.990971","25.661829","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300002","10250020","PORTUGUESE CLUB","SUMMERSTRAND, 7TH AVENUE, PORT ELIZABETH"
"GQEBERHA","SUMMERTSRAND","56 VIGNE ROAD","-33.997501","25.653846","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300002","10251942","TENT AT VIGNE ROAD","SUMMERTSRAND, 56 VIGNE ROAD, GQEBERHA"
"GQEBERHA","SUMMERSTRAND","77 LOUIS BOTHA CRESCENT","-33.996109","25.659825","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300002","10251953","NEDERDUITSE GEREFORMEEDE KERK NG KERK SUMMERSTRAND","SUMMERSTRAND, 77 LOUIS BOTHA CRESCENT, GQEBERHA"
"PORT ELIZABETH","WALMER","WILLIAM MOFFETT","-33.97734","25.55457","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300003","10250086","WALMER WEST PRIMARY SCHOOL","WALMER, WILLIAM MOFFETT, PORT ELIZABETH"
"PORT ELIZABETH","WALMER","MAIN ROAD","-33.977584","25.585254","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300003","10250097","WALMER TOWN HALL","WALMER, MAIN ROAD, PORT ELIZABETH"
"PORT ELIZABETH","CENTRAL","PARK DRIVE","-33.968358","25.610841","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300003","10251100","GREENWOOD PRIMARY SCHOOL","CENTRAL, PARK DRIVE, PORT ELIZABETH"
"NELSON MANDELA [PORT ELIZABETH]","WALMER","4TH AVENUE","-33.974619","25.601741","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300003","10251661","SETTLERS PARK PRIMARY SCHOOL","WALMER, 4TH AVENUE, NELSON MANDELA [PORT ELIZABETH]"
"GQEBERHA","WALMER","20 QONGQOTHWANE","-33.99365","25.58764","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300004","10250031","THE NEW TESTAMENT CHRIST CHURCH","WALMER, 20 QONGQOTHWANE, GQEBERHA"
"PORT ELIZABETH","GQEBERA TOWNSHIP,","2 MTYOBO STREET","-33.989997","25.587487","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300004","10250042","JOHN MASIZA HIGHER PRIMARY SCHOOL","GQEBERA TOWNSHIP,, 2 MTYOBO STREET, PORT ELIZABETH"
"PORT ELIZABETH","GQEBERA TOWNSHIP","1 YOYO STREET","-33.985704","25.592594","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300004","10250053","WALMER LOWER PRIMARY SCHOOL","GQEBERA TOWNSHIP, 1 YOYO STREET, PORT ELIZABETH"
"PORT ELIZABETH","WALMER","162 BHABHATANE STREET","-33.99497","25.58889","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300004","10251964","UNITED APOSTOLIC FAITH MISSION CHURC","WALMER, 162 BHABHATANE STREET, PORT ELIZABETH"
"PORT ELIZABETH","HUMEWOOD","BEACH ROAD","-33.9728","25.64576","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300005","10251087","KINGS BEACH (LIFE SAVERS CLUB)","HUMEWOOD, BEACH ROAD, PORT ELIZABETH"
"PORT ELIZABETH","FOREST HILL","1 HILTON CRESCENT","-33.980343","25.63165","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300005","10251098","ACVV CENTRE","FOREST HILL, 1 HILTON CRESCENT, PORT ELIZABETH"
"PORT ELIZABETH","CENTRAL","GOVAN MBEKI AVENUE","-33.962562","25.623577","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300005","10251111","CITY HALL","CENTRAL, GOVAN MBEKI AVENUE, PORT ELIZABETH"
"GQEBERHA","CENTRAL","5 HAVELOCK STREET","-33.963027","25.614895","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300005","10251975","ST JOHNS METHODIST CHURCH","CENTRAL, 5 HAVELOCK STREET, GQEBERHA"
"PORT ELIZABETH","CHARLO","1 MILES AVE","-33.985252","25.538618","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300006","10250075","CHARLO PRIMARY SCHOOL","CHARLO, 1 MILES AVE, PORT ELIZABETH"
"PORT ELIZABETH","WALMER","10 OAK ROAD","-33.978947","25.550889","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300006","10250109","MTR SMIT CHILDRENS' HOME","WALMER, 10 OAK ROAD, PORT ELIZABETH"
"NELSON MANDELA BAY","SUNRIDGE PARK","55 RALSTEN ROAD","-33.95014","25.53873","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300006","10251672","LONDT PARK CLUB","SUNRIDGE PARK, 55 RALSTEN ROAD, NELSON MANDELA BAY"
"GQEBERHA","MANGOLD PARK","CNR WILLIAM MOFFETT EXPRESSWAY &, LILY STREET","-33.96423","25.55708","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300006","10251986","WORD OF FAITH CHRISTIAN CENTRE","MANGOLD PARK, CNR WILLIAM MOFFETT EXPRESSWAY &, LILY STREET, GQEBERHA"
"PORT ELIZABETH","NEWTON PARK","90 WILLET STREET","-33.95057","25.55983","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300007","10250222","HERBERT HURD PRIMARY SCHOOL","NEWTON PARK, 90 WILLET STREET, PORT ELIZABETH"
"PORT ELIZABETH","NEWTON PARK","92 FIRST AVENUE","-33.957137","25.572834","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300007","10250233","NEWTON TECHNICAL HIGH SCHOOL","NEWTON PARK, 92 FIRST AVENUE, PORT ELIZABETH"
"PORT ELIZABETH","NEWTON PARK","9 ALEXANDER ROAD","-33.94156","25.57274","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300007","10250255","ALEXANDER ROAD HIGH SCHOOL","NEWTON PARK, 9 ALEXANDER ROAD, PORT ELIZABETH"
"PORT ELIZABETH","KENSINGTON","MARY BOYD AVENUE","-33.940036","25.588407","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300007","10251144","MOREWAG PRIMARY SCHOOL","KENSINGTON, MARY BOYD AVENUE, PORT ELIZABETH"
"PORT ELIZABETH","LORRAINE","MIRECOURT AVE","-33.97965","25.52301","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300008","10250110","P.E RIDING HORSE CLUB","LORRAINE, MIRECOURT AVE, PORT ELIZABETH"
"PORT ELIZABETH","LORRAINE","78 LUNEVILLE ROAD","-33.969528","25.517328","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300008","10250121","LORRAINE METHODIST CHURCH OF AFRICA","LORRAINE, 78 LUNEVILLE ROAD, PORT ELIZABETH"
"NELSON MANDELA  BAY","LORRAINE","MEUSE AVE","-33.970166","25.510749","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300008","10251683","LORRAINE PRIMARY SCHOOL","LORRAINE, MEUSE AVE, NELSON MANDELA  BAY"
"PORT ELIZABETH","LORRAINE","31 MACON ROAD","-33.97262","25.50699","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300008","10251919","EMMANUELLE CHURCH","LORRAINE, 31 MACON ROAD, PORT ELIZABETH"
"PORT ELIZABETH","SINRIDGE","CNR OF CAMELIE CRES AND ESTER AVENUE","-33.95107","25.52984","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300009","10250176","SUNRIDGE TENT","SINRIDGE, CNR OF CAMELIE CRES AND ESTER AVENUE, PORT ELIZABETH"
"NELSON MANDELA","NELSON MANDELA","PAPENKUILS STREET","-33.936765","25.524639","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300009","10250198","WESTERING PRIMARY SCHOOL","NELSON MANDELA, PAPENKUILS STREET, NELSON MANDELA"
"NELSON MANDELA [PORT ELIZABETH]","NELSON MANDELA [PORT ELIZABETH]","GARDENIA CRESCENT","-33.941521","25.513376","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300009","10251694","VERKENNER PRIMARY SCHOOL","NELSON MANDELA [PORT ELIZABETH], GARDENIA CRESCENT, NELSON MANDELA [PORT ELIZABETH]"
"PORT ELIZABETH","COTSWOLD EXT","LOERIE STREET","-33.939375","25.546413","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300010","10250200","MOREGROVE PRIMARY SCHOOL","COTSWOLD EXT, LOERIE STREET, PORT ELIZABETH"
"PORT ELIZABETH","GELVANDALE","KOBUS ROAD","-33.920545","25.557293","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300010","10250301","ST MARTINS DE PORRES CATHOLIC CHURCH HALL","GELVANDALE, KOBUS ROAD, PORT ELIZABETH"
"PORT ELIZABETH","MALABAR","HAWORTHIA DRIVE","-33.921325","25.532522","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300010","10250345","MALABAR COMMUNITY CENTRE","MALABAR, HAWORTHIA DRIVE, PORT ELIZABETH"
"PORT ELIZABETH","SCHAUDERVILLE","HIGHFIELD ROAD","-33.933602","25.576072","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300011","10250266","JARMAN HALL","SCHAUDERVILLE, HIGHFIELD ROAD, PORT ELIZABETH"
"PORT ELIZABETH","SCHAUNDERVILLE","THORNTON ROAD","-33.9341","25.5708","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300011","10250277","SAM ARENDS HALL","SCHAUNDERVILLE, THORNTON ROAD, PORT ELIZABETH"
"PORT ELIZABETH","SCHAUDERVILLE","DINSMORE ROAD","-33.929481","25.566467","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300011","10250288","DE VOS MALAN SCHOOL","SCHAUDERVILLE, DINSMORE ROAD, PORT ELIZABETH"
"PORT ELIZABETH","SCHAUDERVILLE","KOHLBERG ROAD","-33.929835","25.563636","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300011","10250299","DAVID LIVINGSTONE SENIOR SECONDARY SCHOOL","SCHAUDERVILLE, KOHLBERG ROAD, PORT ELIZABETH"
"PORT ELIZABETH","SIDWELL","SUTTON ROAD","-33.917046","25.590597","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300011","10251177","PIET RETIEF PRIMARY SCHOOL","SIDWELL, SUTTON ROAD, PORT ELIZABETH"
"PORT ELIZABETH","ROWALLAN PARK","BRAMPTON AVENUE","-33.938817","25.477805","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300012","10250154","ROWALLAN PARK PRIMARY SCHOOL","ROWALLAN PARK, BRAMPTON AVENUE, PORT ELIZABETH"
"PORT ELIZABETH","KABEGA PARK","BRABANT STREET","-33.943899","25.493639","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300012","10250165","KABEGA PRIMARY SCHOOL","KABEGA PARK, BRABANT STREET, PORT ELIZABETH"
"PORT ELIZABETH","MORNINGSIDE","TOPAZ ROAD","-33.934908","25.504504","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300012","10250187","MORNINGSIDE HIGH SCHOOL","MORNINGSIDE, TOPAZ ROAD, PORT ELIZABETH"
"PORT ELIZABETH","GELVANDALE","ACCESS ROAD","-33.912689","25.558302","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300013","10250312","GELVANDALE COMMUNITY HALL","GELVANDALE, ACCESS ROAD, PORT ELIZABETH"
"PORT ELIZABETH","GELVANDALE","BELL ROAD","-33.912229","25.548184","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300013","10250323","ALPHA PRIMARY SCHOOL","GELVANDALE, BELL ROAD, PORT ELIZABETH"
"PORT ELIZABETH","GELVANDALE","SPRINGBOK STREET","-33.917066","25.548294","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300013","10250334","MORAVIAN YOUTH CENTRE","GELVANDALE, SPRINGBOK STREET, PORT ELIZABETH"
"PORT ELIZABETH","HELENVALE","POTTS STREET","-33.907652","25.55232","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300013","10250356","BAYVIEW PRIMARY SCHOOL","HELENVALE, POTTS STREET, PORT ELIZABETH"
"PORT ELIZABETH","NEW BRIGHTON","MADALA STREET","-33.904228","25.592239","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300014","10251212","COWAN HIGH SCHOOL","NEW BRIGHTON, MADALA STREET, PORT ELIZABETH"
"PORT ELIZABETH","NEW BRIGHTON","SINGAPI STREET","-33.903399","25.603457","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300014","10251223","JARVIS GQAMLANA PRIMARY SCHOOL","NEW BRIGHTON, SINGAPI STREET, PORT ELIZABETH"
"PORT ELIZABETH","NEW BRIGHTON","JOLOBE STREET","-33.89912","25.595559","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300014","10251245","NEWELL HIGH SCHOOL","NEW BRIGHTON, JOLOBE STREET, PORT ELIZABETH"
"PORT ELIZABETH","KWAZAKHELE","YAYA STREET","-33.898035","25.602425","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300014","10251256","EDWARD KOEK METHODIST CHURCH","KWAZAKHELE, YAYA STREET, PORT ELIZABETH"
"PORT ELIZABETH","NEW BRIGHTON","CONNACHER STREET","-33.907252","25.591004","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300014","10251717","MOLEFE PRIMARY SCHOOL","NEW BRIGHTON, CONNACHER STREET, PORT ELIZABETH"
"PORT ELIZABETH","MILLARD GRANGE","2 EYRE RD","-33.948744","25.599448","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300015","10250244","LAWSON BROWN HIGH SCHOOL","MILLARD GRANGE, 2 EYRE RD, PORT ELIZABETH"
"GQEBERHA","CENTRAL","139 RUSSEL ROAD","-33.96117","25.61061","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300015","10251122","PE TVET COLLEGE-RUSSELL ROAD CAMPUS","CENTRAL, 139 RUSSEL ROAD, GQEBERHA"
"PORT ELIZABETH","SYDENHAM","PRINCE ALFRED ROAD","-33.936702","25.602512","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300015","10251155","SYDENHAM PRIMARY SCHOOL","SYDENHAM, PRINCE ALFRED ROAD, PORT ELIZABETH"
"PORT ELIZABETH","BLUE WATER BAY","CLAUDE CRES","-33.854367","25.62584","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300016","10251076","TENT AT NG KERK ","BLUE WATER BAY, CLAUDE CRES, PORT ELIZABETH"
"PORT ELIZABETH","NEW BRIGHTON","COR MHLABA STREET AND MALAKANE","-33.895981","25.602229","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300016","10251267","J Y HLISO MEMORIAL CHURCH","NEW BRIGHTON, COR MHLABA STREET AND MALAKANE, PORT ELIZABETH"
"PORT ELIZABETH","NEW BRIGHTON","GUNGULUZA STREET","-33.892194","25.602805","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300016","10251324","BEN SINUKA PRIMARY SCHOOL","NEW BRIGHTON, GUNGULUZA STREET, PORT ELIZABETH"
"NELSON MANDELA METRO","KWAZAKHELE","MAHAMBEHLALA","-33.88606","25.60729","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300016","10251346","SISONKE COMMUNITY PROJECT","KWAZAKHELE, MAHAMBEHLALA, NELSON MANDELA METRO"
"PORT ELIZABETH","NEW BRIGHTON","MANDELA STREET","-33.89242","25.606847","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300016","10251605","MASANGWANA DAY CARE CENTRE","NEW BRIGHTON, MANDELA STREET, PORT ELIZABETH"
"PORT ELIZABETH","SWARTKOPS","MAXWELL STREET","-33.86523","25.60204","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300016","10251852","SWARTKOPS PRIMARY SCHOOL","SWARTKOPS, MAXWELL STREET, PORT ELIZABETH"
"PORT ELIZABETH","NEW BRIGHTON","NTSHEKISA RD","-33.900795","25.587708","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300017","10251234","PENDLA PRIMARY SCHOOL","NEW BRIGHTON, NTSHEKISA RD, PORT ELIZABETH"
"PORT ELIZABETH","NEW BRIGHTON 2","STOKWE","-33.89633","25.59628","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300017","10251278","ELUNDINI  CRECHE","NEW BRIGHTON 2, STOKWE, PORT ELIZABETH"
"PORT ELIZABETH","NEW BRIGHTON","MAGONGO STREET","-33.891477","25.591893","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300017","10251289","STEPHEN MAZUNGULA PRIMARY SCHOOL","NEW BRIGHTON, MAGONGO STREET, PORT ELIZABETH"
"PORT ELIZABETH","NEW BRIGHTON","DIPPA PLACE","-33.897524","25.587536","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300017","10251290","PHILIP NIKIWE SENIOR SECONDARY SCHOOL","NEW BRIGHTON, DIPPA PLACE, PORT ELIZABETH"
"PORT ELIZABETH","NEW BRIGHTON","HLAWULA STREET","-33.89003","25.59988","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300017","10251335","BASELA QAQAWULI HALL","NEW BRIGHTON, HLAWULA STREET, PORT ELIZABETH"
"PORT ELIZABETH","NEW BRIGTHON","NTSHEKISA ROAD","-33.895132","25.592023","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300017","10251706","CENTENARY HALL","NEW BRIGTHON, NTSHEKISA ROAD, PORT ELIZABETH"
"PORT ELIZABETH","KWAZAKHELE","NJOLI ROAD","-33.888407","25.585995","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300018","10251313","BJ MNYANDA PP SCHOOL","KWAZAKHELE, NJOLI ROAD, PORT ELIZABETH"
"PORT ELIZABETH","KWAZAKHELE","KAMBA STREET","-33.886897","25.593197","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300018","10251481","EBHONGWENI PRIMARY SCHOOL","KWAZAKHELE, KAMBA STREET, PORT ELIZABETH"
"PORT ELIZABETH","STRUANDALE","61494 JUNIOR STREET","-33.89053","25.57722","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300018","10251616","NEW APOSTOLIC CHURCH","STRUANDALE, 61494 JUNIOR STREET, PORT ELIZABETH"
"PORT ELIZABETH","NEW BRIGHTON","VAKAZA STREET","-33.886434","25.600646","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300019","10251357","SEYISI PRIMARY SCHOOL","NEW BRIGHTON, VAKAZA STREET, PORT ELIZABETH"
"GQEBERHA","KWAZAKHELE","KULATI 25","-33.8794","25.58423","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300019","10251436","LILLIAN NGOYI SPORT CENTRE","KWAZAKHELE, KULATI 25, GQEBERHA"
"PORT ELIZABETH","KWAZAKHELE","KULATI ROAD","-33.882037","25.585289","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300019","10251469","QAPHELANI HIGH SCHOOL","KWAZAKHELE, KULATI ROAD, PORT ELIZABETH"
"PORT ELIZABETH","ZAKHELE","MAQUBELA","-33.880877","25.589495","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300019","10251470","BEN NYATHI HIGHER PRIMARY SCHOOL","ZAKHELE, MAQUBELA, PORT ELIZABETH"
"NELSON MANDELA [PORT ELIZABETH]","PORT ELIZABETH","STOFILE STREET","-33.8842","25.595283","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300019","10251515","WOLFSON STADIUM","PORT ELIZABETH, STOFILE STREET, NELSON MANDELA [PORT ELIZABETH]"
"PORT ELIZABETH","ZWIDE","BOOI STREET","-33.873016","25.566862","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300020","10250851","SITHEMBILE PRIMARY SCHOOL","ZWIDE, BOOI STREET, PORT ELIZABETH"
"PORT ELIZABETH","KWAZAKHELE","CNR DUMILE AND MADAKA STREET","-33.886286","25.578631","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300020","10251368","MATHEWS GONIWE COMMUNITY HALL","KWAZAKHELE, CNR DUMILE AND MADAKA STREET, PORT ELIZABETH"
"PORT ELIZABETH","KWAZAKHELE","CNR MEKE AND JAKAVULA STREET","-33.883156","25.575578","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300020","10251379","KWAZAKHELE HIGH SCHOOL","KWAZAKHELE, CNR MEKE AND JAKAVULA STREET, PORT ELIZABETH"
"PORT ELIZABETH","ZWIDE","BOOF STREET","-33.878053","25.565042","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300020","10251380","NKUTHALO PUBLIC PRIMARY SCHOOL","ZWIDE, BOOF STREET, PORT ELIZABETH"
"PORT ELIZABETH","KWAZAKHELE","TUBALI STREET","-33.877647","25.572363","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300020","10251391","J.K. ZONDI PRIMARY SCHOOL","KWAZAKHELE, TUBALI STREET, PORT ELIZABETH"
"PORT ELIZABETH","KWAZAKHELE","COR BUDAZA & MBILNI ROADS","-33.880121","25.585781","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300021","10251447","SIPHO HASHE COMBINED SCHOOL","KWAZAKHELE, COR BUDAZA & MBILNI ROADS, PORT ELIZABETH"
"3 MAHAMBEHLALA STREET","KWAZAKHELE","MAHAMBEHLALA STREET","-33.88172","25.60304","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300021","10251492","KINGDOM EMBASSY MINISTRIES","KWAZAKHELE, MAHAMBEHLALA STREET, 3 MAHAMBEHLALA STREET"
"PORT ELIZABETH","KWAZAKHELE","MATODLANA STREET","-33.879241","25.599314","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300021","10251504","MZONTSUNDU HIGH SCHOOL","KWAZAKHELE, MATODLANA STREET, PORT ELIZABETH"
"PORT ELIZABETH","KWAZAKHELE","BUYAMBO STREET","-33.874928","25.589433","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300021","10251526","UNITED APOSTOLIC FAITH CHURCH","KWAZAKHELE, BUYAMBO STREET, PORT ELIZABETH"
"PORT ELIZABETH","KWAZAKHELE","MAVAVANA STREET","-33.876267","25.593541","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300021","10251537","KAISER NGXWANA PRIMARY SCHOOL","KWAZAKHELE, MAVAVANA STREET, PORT ELIZABETH"
"PORT ELIZABETH","KWAZAKHELE","CNR MANGCU & MKYULI STREET","-33.874201","25.575837","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300022","10251403","ETHIOPIAN CHARISMATIC CHURCH","KWAZAKHELE, CNR MANGCU & MKYULI STREET, PORT ELIZABETH"
"PORT ELIZABETH","KWAZAKHELE","MOYAKE STREET","-33.874299","25.576878","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300022","10251414","MASAKANE PRIMARY SCHOOL","KWAZAKHELE, MOYAKE STREET, PORT ELIZABETH"
"PORT ELIZABETH","KWAZAKHELE","NGXOKOLO ST","-33.872063","25.582204","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300022","10251425","WB TSHUME PRIMARY SCHOOL","KWAZAKHELE, NGXOKOLO ST, PORT ELIZABETH"
"PORT ELIZABETH","KWAZAKHELE","50219 BOXONGO STREET","-33.871499","25.586507","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300022","10251548","JC MVUSI METHODIST CHURCH","KWAZAKHELE, 50219 BOXONGO STREET, PORT ELIZABETH"
"PORT ELIZABETH","KWAZAKHELE","NGQKONDELA STREET","-33.866803","25.581775","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300022","10251559","PHAKAMA PUBLIC PRIMARY SCHOOL","KWAZAKHELE, NGQKONDELA STREET, PORT ELIZABETH"
"PORT ELIZABETH","NU 3 MOTHERWELL","KHWALIMANZI STREET","-33.810752","25.603403","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300023","10251009","DUMANI PRIMARY SCHOOL","NU 3 MOTHERWELL, KHWALIMANZI STREET, PORT ELIZABETH"
"PORT ELIZABETH","MOTHERWELL  NU2","PHALO STREET","-33.80505","25.605789","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300023","10251054","ENQILENI PRIMARY SCHOOL","MOTHERWELL  NU2, PHALO STREET, PORT ELIZABETH"
"PORT ELIZABETH","MOTHERWELL NU2","CNR LL SEBE & ZAMUKULUNGISA STREET","-33.804499","25.61083","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300023","10251065","MOTHERWELL COMMUNITY HALL","MOTHERWELL NU2, CNR LL SEBE & ZAMUKULUNGISA STREET, PORT ELIZABETH"
"NELSON MANDELA [PORT ELIZABETH]","MOTHERWELL  NU 2","MATANZIMA","-33.802373","25.614431","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300023","10251728","SIYAPHAMBILI PRIMARY SCHOOL","MOTHERWELL  NU 2, MATANZIMA, NELSON MANDELA [PORT ELIZABETH]"
"PORT ELIZABETH","SOWETO ON SEA","119 BAFANA STREET","-33.85592","25.56817","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300024","10250772","JERUSALEM REFORMED APOSTOLIC BAPTIST CHURCH","SOWETO ON SEA, 119 BAFANA STREET, PORT ELIZABETH"
"PORT ELIZABETH","SOWETO ON SEA","JOHNSON RD","-33.857329","25.573807","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300024","10250783","SOWETO ON SEA COMMUNITY HALL","SOWETO ON SEA, JOHNSON RD, PORT ELIZABETH"
"PORT ELIZABETH","SOWETO ON SEA  ZWIDE","JOHNSON ROAD","-33.857914","25.574227","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300024","10250828","SOWETO-ON-SEA PRIMARY SCHOOL","SOWETO ON SEA  ZWIDE, JOHNSON ROAD, PORT ELIZABETH"
"PORT ELIZABETH","ZWIDE","MAKHUBALO STREET","-33.864283","25.580292","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300024","10251560","LUVUYO LUTHANDO SPECIAL PRIMARY SCHOOL","ZWIDE, MAKHUBALO STREET, PORT ELIZABETH"
"PORT ELIZABETH","KWAZAKHELE","NGWENDU STREET","-33.864724","25.58607","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300024","10251571","ILITHA PUBLIC PRIMARY SCHOOL","KWAZAKHELE, NGWENDU STREET, PORT ELIZABETH"
